================================================================================
                FINAL AGENT B CURRICULUM TRAJECTORY TRACE (ALL STEPS)
================================================================================
Step  | Lane ID         | Edge ID      | Speed (m/s)  | Route Idx | Remaining Route
59    | entry_N_0       | entry_N      | 1.01         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
60    | entry_N_0       | entry_N      | 1.03         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
61    | entry_N_0       | entry_N      | 1.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
62    | entry_N_0       | entry_N      | 1.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
63    | entry_N_0       | entry_N      | 1.08         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
64    | entry_N_0       | entry_N      | 1.10         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
65    | entry_N_0       | entry_N      | 1.11         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
66    | entry_N_0       | entry_N      | 1.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
67    | entry_N_0       | entry_N      | 1.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
68    | entry_N_0       | entry_N      | 1.16         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
69    | entry_N_0       | entry_N      | 1.18         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
70    | entry_N_0       | entry_N      | 1.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
71    | entry_N_0       | entry_N      | 1.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
72    | entry_N_0       | entry_N      | 1.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
73    | entry_N_0       | entry_N      | 1.25         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
74    | entry_N_0       | entry_N      | 1.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
75    | entry_N_0       | entry_N      | 1.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
76    | entry_N_0       | entry_N      | 1.30         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
77    | entry_N_0       | entry_N      | 1.32         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
78    | entry_N_0       | entry_N      | 1.34         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
79    | entry_N_0       | entry_N      | 1.35         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
80    | entry_N_0       | entry_N      | 1.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
81    | entry_N_0       | entry_N      | 1.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
82    | entry_N_0       | entry_N      | 1.41         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
83    | entry_N_0       | entry_N      | 1.42         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
84    | entry_N_0       | entry_N      | 1.44         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
85    | entry_N_0       | entry_N      | 1.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
86    | entry_N_0       | entry_N      | 1.48         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
87    | entry_N_0       | entry_N      | 1.49         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
88    | entry_N_0       | entry_N      | 1.51         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
89    | entry_N_0       | entry_N      | 1.53         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
90    | entry_N_0       | entry_N      | 1.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
91    | entry_N_0       | entry_N      | 1.56         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
92    | entry_N_0       | entry_N      | 1.58         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
93    | entry_N_0       | entry_N      | 1.60         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
94    | entry_N_0       | entry_N      | 1.62         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
95    | entry_N_0       | entry_N      | 1.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
96    | entry_N_0       | entry_N      | 1.65         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
97    | entry_N_0       | entry_N      | 1.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
98    | entry_N_0       | entry_N      | 1.69         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
99    | entry_N_0       | entry_N      | 1.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
100   | entry_N_0       | entry_N      | 1.72         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
101   | entry_N_0       | entry_N      | 1.74         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
102   | entry_N_0       | entry_N      | 1.76         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
103   | entry_N_0       | entry_N      | 1.77         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
104   | entry_N_0       | entry_N      | 1.79         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
105   | entry_N_0       | entry_N      | 1.81         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
106   | entry_N_0       | entry_N      | 1.83         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
107   | entry_N_0       | entry_N      | 1.84         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
108   | entry_N_0       | entry_N      | 1.86         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
109   | entry_N_0       | entry_N      | 1.88         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
110   | entry_N_0       | entry_N      | 1.90         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
111   | entry_N_0       | entry_N      | 1.91         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
112   | entry_N_0       | entry_N      | 1.93         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
113   | entry_N_0       | entry_N      | 1.95         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
114   | entry_N_0       | entry_N      | 1.97         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
115   | entry_N_0       | entry_N      | 1.98         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
116   | entry_N_0       | entry_N      | 2.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
117   | entry_N_0       | entry_N      | 2.02         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
118   | entry_N_0       | entry_N      | 2.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
119   | entry_N_0       | entry_N      | 2.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
120   | entry_N_0       | entry_N      | 2.07         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
121   | entry_N_0       | entry_N      | 2.09         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
122   | entry_N_0       | entry_N      | 2.11         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
123   | entry_N_0       | entry_N      | 2.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
124   | entry_N_0       | entry_N      | 2.14         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
125   | entry_N_0       | entry_N      | 2.16         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
126   | entry_N_0       | entry_N      | 2.18         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
127   | entry_N_0       | entry_N      | 2.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
128   | entry_N_0       | entry_N      | 2.21         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
129   | entry_N_0       | entry_N      | 2.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
130   | entry_N_0       | entry_N      | 2.25         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
131   | entry_N_0       | entry_N      | 2.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
132   | entry_N_0       | entry_N      | 2.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
133   | entry_N_0       | entry_N      | 2.30         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
134   | entry_N_0       | entry_N      | 2.32         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
135   | entry_N_0       | entry_N      | 2.34         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
136   | entry_N_0       | entry_N      | 2.36         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
137   | entry_N_0       | entry_N      | 2.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
138   | entry_N_0       | entry_N      | 2.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
139   | entry_N_0       | entry_N      | 2.41         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
140   | entry_N_0       | entry_N      | 2.43         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
141   | entry_N_0       | entry_N      | 2.45         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
142   | entry_N_0       | entry_N      | 2.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
143   | entry_N_0       | entry_N      | 2.48         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
144   | entry_N_0       | entry_N      | 2.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
145   | entry_N_0       | entry_N      | 2.52         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
146   | entry_N_0       | entry_N      | 2.54         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
147   | entry_N_0       | entry_N      | 2.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
148   | entry_N_0       | entry_N      | 2.57         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
149   | entry_N_0       | entry_N      | 2.59         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
150   | entry_N_0       | entry_N      | 2.61         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
151   | entry_N_0       | entry_N      | 2.62         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
152   | entry_N_0       | entry_N      | 2.64         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
153   | entry_N_0       | entry_N      | 2.66         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
154   | entry_N_0       | entry_N      | 2.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
155   | entry_N_0       | entry_N      | 2.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
156   | entry_N_0       | entry_N      | 2.71         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
157   | entry_N_0       | entry_N      | 2.73         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
158   | entry_N_0       | entry_N      | 2.75         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
159   | entry_N_0       | entry_N      | 2.77         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
160   | entry_N_0       | entry_N      | 2.79         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
161   | entry_N_0       | entry_N      | 2.80         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
162   | entry_N_0       | entry_N      | 2.82         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
163   | entry_N_0       | entry_N      | 2.84         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
164   | entry_N_0       | entry_N      | 2.86         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
165   | entry_N_0       | entry_N      | 2.88         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
166   | entry_N_0       | entry_N      | 2.89         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
167   | entry_N_0       | entry_N      | 2.91         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
168   | entry_N_0       | entry_N      | 2.93         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
169   | entry_N_0       | entry_N      | 2.95         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
170   | entry_N_0       | entry_N      | 2.97         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
171   | entry_N_0       | entry_N      | 2.98         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
172   | entry_N_0       | entry_N      | 3.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
173   | entry_N_0       | entry_N      | 3.02         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
174   | entry_N_0       | entry_N      | 3.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
175   | entry_N_0       | entry_N      | 3.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
176   | entry_N_0       | entry_N      | 3.07         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
177   | entry_N_0       | entry_N      | 3.09         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
178   | entry_N_0       | entry_N      | 3.11         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
179   | entry_N_0       | entry_N      | 3.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
180   | entry_N_0       | entry_N      | 3.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
181   | entry_N_0       | entry_N      | 3.16         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
182   | entry_N_0       | entry_N      | 3.18         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
183   | entry_N_0       | entry_N      | 3.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
184   | entry_N_0       | entry_N      | 3.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
185   | entry_N_0       | entry_N      | 3.24         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
186   | entry_N_0       | entry_N      | 3.26         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
187   | entry_N_0       | entry_N      | 3.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
188   | entry_N_0       | entry_N      | 3.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
189   | entry_N_0       | entry_N      | 3.31         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
190   | entry_N_0       | entry_N      | 3.33         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
191   | entry_N_0       | entry_N      | 3.35         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
192   | entry_N_0       | entry_N      | 3.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
193   | entry_N_0       | entry_N      | 3.38         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
194   | entry_N_0       | entry_N      | 3.40         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
195   | entry_N_0       | entry_N      | 3.42         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
196   | entry_N_0       | entry_N      | 3.44         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
197   | entry_N_0       | entry_N      | 3.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
198   | entry_N_0       | entry_N      | 3.48         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
199   | entry_N_0       | entry_N      | 3.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
200   | entry_N_0       | entry_N      | 3.51         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
201   | entry_N_0       | entry_N      | 3.53         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
202   | entry_N_0       | entry_N      | 3.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
203   | entry_N_0       | entry_N      | 3.57         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
204   | entry_N_0       | entry_N      | 3.59         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
205   | entry_N_0       | entry_N      | 3.61         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
206   | entry_N_0       | entry_N      | 3.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
207   | entry_N_0       | entry_N      | 3.65         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
208   | entry_N_0       | entry_N      | 3.66         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
209   | entry_N_0       | entry_N      | 3.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
210   | entry_N_0       | entry_N      | 3.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
211   | entry_N_0       | entry_N      | 3.72         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
212   | entry_N_0       | entry_N      | 3.74         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
213   | entry_N_0       | entry_N      | 3.76         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
214   | entry_N_0       | entry_N      | 3.78         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
215   | entry_N_0       | entry_N      | 3.80         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
216   | entry_N_0       | entry_N      | 3.82         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
217   | entry_N_0       | entry_N      | 3.84         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
218   | entry_N_0       | entry_N      | 3.86         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
219   | entry_N_0       | entry_N      | 3.88         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
220   | entry_N_0       | entry_N      | 3.90         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
221   | entry_N_0       | entry_N      | 3.92         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
222   | entry_N_0       | entry_N      | 3.94         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
223   | entry_N_0       | entry_N      | 3.96         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
224   | entry_N_0       | entry_N      | 3.98         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
225   | entry_N_0       | entry_N      | 4.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
226   | entry_N_0       | entry_N      | 4.02         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
227   | entry_N_0       | entry_N      | 4.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
228   | entry_N_0       | entry_N      | 4.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
229   | entry_N_0       | entry_N      | 4.09         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
230   | entry_N_0       | entry_N      | 4.11         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
